LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
UKR;SIGI;RESTRPHYSINTEG;IDX;A;2019;13.5;
URY;SIGI;RESTRPHYSINTEG;IDX;A;2019;11;
VNM;SIGI;RESTRPHYSINTEG;IDX;A;2019;30.8;
ZMB;SIGI;RESTRPHYSINTEG;IDX;A;2019;27.6;
SRB;SIGI;RESTRPHYSINTEG;IDX;A;2019;6.7;
AFG;SIGI;RESTRPHYSINTEG;IDX;A;2019;39.8;
AGO;SIGI;RESTRPHYSINTEG;IDX;A;2019;19;
BEN;SIGI;RESTRPHYSINTEG;IDX;A;2019;27.7;
BTN;SIGI;RESTRPHYSINTEG;IDX;A;2019;22.9;
BOL;SIGI;RESTRPHYSINTEG;IDX;A;2019;16.2;
BFA;SIGI;RESTRPHYSINTEG;IDX;A;2019;35.5;
BDI;SIGI;RESTRPHYSINTEG;IDX;A;2019;31.9;
CMR;SIGI;RESTRPHYSINTEG;IDX;A;2019;26.3;
CAF;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.5;
TCD;SIGI;RESTRPHYSINTEG;IDX;A;2019;32.2;
CRI;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.8;
CIV;SIGI;RESTRPHYSINTEG;IDX;A;2019;35.6;
COD;SIGI;RESTRPHYSINTEG;IDX;A;2019;35.1;
DOM;SIGI;RESTRPHYSINTEG;IDX;A;2019;18.1;
ECU;SIGI;RESTRPHYSINTEG;IDX;A;2019;18.9;
SLV;SIGI;RESTRPHYSINTEG;IDX;A;2019;27.4;
GAB;SIGI;RESTRPHYSINTEG;IDX;A;2019;37.3;
GMB;SIGI;RESTRPHYSINTEG;IDX;A;2019;44.9;
GTM;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.5;
GIN;SIGI;RESTRPHYSINTEG;IDX;A;2019;56.9;
HND;SIGI;RESTRPHYSINTEG;IDX;A;2019;25;
IRQ;SIGI;RESTRPHYSINTEG;IDX;A;2019;30.7;
JAM;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.5;
JOR;SIGI;RESTRPHYSINTEG;IDX;A;2019;25.2;
KEN;SIGI;RESTRPHYSINTEG;IDX;A;2019;28.9;
KGZ;SIGI;RESTRPHYSINTEG;IDX;A;2019;16.6;
LAO;SIGI;RESTRPHYSINTEG;IDX;A;2019;23.9;
LBN;SIGI;RESTRPHYSINTEG;IDX;A;2019;26.6;
LSO;SIGI;RESTRPHYSINTEG;IDX;A;2019;26.9;
LBR;SIGI;RESTRPHYSINTEG;IDX;A;2019;33.5;
MDG;SIGI;RESTRPHYSINTEG;IDX;A;2019;31.6;
MWI;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.1;
MLI;SIGI;RESTRPHYSINTEG;IDX;A;2019;48.4;
MNG;SIGI;RESTRPHYSINTEG;IDX;A;2019;8.1;
MAR;SIGI;RESTRPHYSINTEG;IDX;A;2019;25.7;
MMR;SIGI;RESTRPHYSINTEG;IDX;A;2019;29.5;
NAM;SIGI;RESTRPHYSINTEG;IDX;A;2019;12.6;
NPL;SIGI;RESTRPHYSINTEG;IDX;A;2019;13.7;
NIC;SIGI;RESTRPHYSINTEG;IDX;A;2019;25.6;
RWA;SIGI;RESTRPHYSINTEG;IDX;A;2019;21.4;
SEN;SIGI;RESTRPHYSINTEG;IDX;A;2019;41.9;
SLE;SIGI;RESTRPHYSINTEG;IDX;A;2019;50.4;
LKA;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.5;
TJK;SIGI;RESTRPHYSINTEG;IDX;A;2019;20.2;
TLS;SIGI;RESTRPHYSINTEG;IDX;A;2019;34.4;
TGO;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.7;
TTO;SIGI;RESTRPHYSINTEG;IDX;A;2019;26.6;
TUN;SIGI;RESTRPHYSINTEG;IDX;A;2019;9.4;
UGA;SIGI;RESTRPHYSINTEG;IDX;A;2019;34.3;
YEM;SIGI;RESTRPHYSINTEG;IDX;A;2019;37.7;
ZWE;SIGI;RESTRPHYSINTEG;IDX;A;2019;20.2;
AUS;SIGI;RESTRPHYSINTEG;IDX;A;2019;12.9;
AUT;SIGI;RESTRPHYSINTEG;IDX;A;2019;7.7;
CAN;SIGI;RESTRPHYSINTEG;IDX;A;2019;4.2;
DNK;SIGI;RESTRPHYSINTEG;IDX;A;2019;10.2;
FIN;SIGI;RESTRPHYSINTEG;IDX;A;2019;16.4;
DEU;SIGI;RESTRPHYSINTEG;IDX;A;2019;14.5;
GRC;SIGI;RESTRPHYSINTEG;IDX;A;2019;9.3;
IRL;SIGI;RESTRPHYSINTEG;IDX;A;2019;18.5;
JPN;SIGI;RESTRPHYSINTEG;IDX;A;2019;21.3;
KOR;SIGI;RESTRPHYSINTEG;IDX;A;2019;17.5;
NLD;SIGI;RESTRPHYSINTEG;IDX;A;2019;13.5;
NZL;SIGI;RESTRPHYSINTEG;IDX;A;2019;17.5;
NOR;SIGI;RESTRPHYSINTEG;IDX;A;2019;7;
POL;SIGI;RESTRPHYSINTEG;IDX;A;2019;19.7;
PRT;SIGI;RESTRPHYSINTEG;IDX;A;2019;7.4;
SVK;SIGI;RESTRPHYSINTEG;IDX;A;2019;5.9;
SWE;SIGI;RESTRPHYSINTEG;IDX;A;2019;8.1;
CHE;SIGI;RESTRPHYSINTEG;IDX;A;2019;13.3;
GBR;SIGI;RESTRPHYSINTEG;IDX;A;2019;24.5;
CHL;SIGI;RESTRPHYSINTEG;IDX;A;2019;18.8;
HRV;SIGI;RESTRPHYSINTEG;IDX;A;2019;7;
CYP;SIGI;RESTRPHYSINTEG;IDX;A;2019;11.7;
GNQ;SIGI;RESTRPHYSINTEG;IDX;A;2019;37.5;
EST;SIGI;RESTRPHYSINTEG;IDX;A;2019;7.3;
HKG;SIGI;RESTRPHYSINTEG;IDX;A;2019;22.5;
IRN;SIGI;RESTRPHYSINTEG;IDX;A;2019;29.1;
MLT;SIGI;RESTRPHYSINTEG;IDX;A;2019;28.4;
SGP;SIGI;RESTRPHYSINTEG;IDX;A;2019;14.8;
