LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
MUS;SIGI;RESTRCIVLIB;IDX;A;2019;40.7;
MNG;SIGI;RESTRCIVLIB;IDX;A;2019;22.9;
MAR;SIGI;RESTRCIVLIB;IDX;A;2019;59.3;
MMR;SIGI;RESTRCIVLIB;IDX;A;2019;54.9;
NAM;SIGI;RESTRCIVLIB;IDX;A;2019;35.1;
NPL;SIGI;RESTRCIVLIB;IDX;A;2019;40.2;
NIC;SIGI;RESTRCIVLIB;IDX;A;2019;6.2;
NER;SIGI;RESTRCIVLIB;IDX;A;2019;25.6;
PSE;SIGI;RESTRCIVLIB;IDX;A;2019;59.4;
PAN;SIGI;RESTRCIVLIB;IDX;A;2019;17.8;
RWA;SIGI;RESTRCIVLIB;IDX;A;2019;23.5;
SEN;SIGI;RESTRCIVLIB;IDX;A;2019;3.6;
SLE;SIGI;RESTRCIVLIB;IDX;A;2019;40.9;
LKA;SIGI;RESTRCIVLIB;IDX;A;2019;28.6;
TJK;SIGI;RESTRCIVLIB;IDX;A;2019;25.1;
TGO;SIGI;RESTRCIVLIB;IDX;A;2019;62;
TTO;SIGI;RESTRCIVLIB;IDX;A;2019;28.5;
TUN;SIGI;RESTRCIVLIB;IDX;A;2019;52.8;
UGA;SIGI;RESTRCIVLIB;IDX;A;2019;26.6;
UZB;SIGI;RESTRCIVLIB;IDX;A;2019;23.5;
VEN;SIGI;RESTRCIVLIB;IDX;A;2019;14.6;
YEM;SIGI;RESTRCIVLIB;IDX;A;2019;75.8;
ZWE;SIGI;RESTRCIVLIB;IDX;A;2019;30.9;
MLT;SIGI;RESTRCIVLIB;IDX;A;2019;26.3;
TWN;SIGI;RESTRCIVLIB;IDX;A;2019;15.9;
MNE;SIGI;RESTRCIVLIB;IDX;A;2019;13.7;
