LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AGO;SIGI;DISCRIMFAMCODE;IDX;A;2019;47.2;
BHR;SIGI;DISCRIMFAMCODE;IDX;A;2019;92.1;
BEN;SIGI;DISCRIMFAMCODE;IDX;A;2019;40.5;
BTN;SIGI;DISCRIMFAMCODE;IDX;A;2019;40.5;
BOL;SIGI;DISCRIMFAMCODE;IDX;A;2019;28.5;
BWA;SIGI;DISCRIMFAMCODE;IDX;A;2019;39.6;
BFA;SIGI;DISCRIMFAMCODE;IDX;A;2019;44.9;
CMR;SIGI;DISCRIMFAMCODE;IDX;A;2019;51.1;
CAF;SIGI;DISCRIMFAMCODE;IDX;A;2019;56.4;
TCD;SIGI;DISCRIMFAMCODE;IDX;A;2019;55.8;
COG;SIGI;DISCRIMFAMCODE;IDX;A;2019;42.8;
CRI;SIGI;DISCRIMFAMCODE;IDX;A;2019;45.7;
CIV;SIGI;DISCRIMFAMCODE;IDX;A;2019;29.7;
CUB;SIGI;DISCRIMFAMCODE;IDX;A;2019;28.9;
COD;SIGI;DISCRIMFAMCODE;IDX;A;2019;53;
DOM;SIGI;DISCRIMFAMCODE;IDX;A;2019;30.3;
ECU;SIGI;DISCRIMFAMCODE;IDX;A;2019;34.8;
SLV;SIGI;DISCRIMFAMCODE;IDX;A;2019;26.1;
GNQ;SIGI;DISCRIMFAMCODE;IDX;A;2019;63.9;
ERI;SIGI;DISCRIMFAMCODE;IDX;A;2019;42;
FJI;SIGI;DISCRIMFAMCODE;IDX;A;2019;24.7;
GAB;SIGI;DISCRIMFAMCODE;IDX;A;2019;50.5;
GMB;SIGI;DISCRIMFAMCODE;IDX;A;2019;87.8;
GTM;SIGI;DISCRIMFAMCODE;IDX;A;2019;26.1;
GIN;SIGI;DISCRIMFAMCODE;IDX;A;2019;87.7;
GNB;SIGI;DISCRIMFAMCODE;IDX;A;2019;59.7;
HND;SIGI;DISCRIMFAMCODE;IDX;A;2019;24.9;
IRQ;SIGI;DISCRIMFAMCODE;IDX;A;2019;87.5;
JAM;SIGI;DISCRIMFAMCODE;IDX;A;2019;32;
JOR;SIGI;DISCRIMFAMCODE;IDX;A;2019;86.9;
KEN;SIGI;DISCRIMFAMCODE;IDX;A;2019;50.5;
KWT;SIGI;DISCRIMFAMCODE;IDX;A;2019;75.8;
KGZ;SIGI;DISCRIMFAMCODE;IDX;A;2019;28.7;
LAO;SIGI;DISCRIMFAMCODE;IDX;A;2019;31.3;
LBN;SIGI;DISCRIMFAMCODE;IDX;A;2019;82.5;
LSO;SIGI;DISCRIMFAMCODE;IDX;A;2019;46.5;
LBR;SIGI;DISCRIMFAMCODE;IDX;A;2019;60;
LBY;SIGI;DISCRIMFAMCODE;IDX;A;2019;40.8;
MDG;SIGI;DISCRIMFAMCODE;IDX;A;2019;57.2;
MWI;SIGI;DISCRIMFAMCODE;IDX;A;2019;38.5;
MLI;SIGI;DISCRIMFAMCODE;IDX;A;2019;63.5;
MRT;SIGI;DISCRIMFAMCODE;IDX;A;2019;88.1;
MUS;SIGI;DISCRIMFAMCODE;IDX;A;2019;52.7;
MNG;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.8;
MAR;SIGI;DISCRIMFAMCODE;IDX;A;2019;73.4;
MMR;SIGI;DISCRIMFAMCODE;IDX;A;2019;47.7;
NAM;SIGI;DISCRIMFAMCODE;IDX;A;2019;33.1;
NPL;SIGI;DISCRIMFAMCODE;IDX;A;2019;52.3;
NIC;SIGI;DISCRIMFAMCODE;IDX;A;2019;25.3;
NER;SIGI;DISCRIMFAMCODE;IDX;A;2019;84.4;
PSE;SIGI;DISCRIMFAMCODE;IDX;A;2019;89.2;
OMN;SIGI;DISCRIMFAMCODE;IDX;A;2019;86.5;
PAN;SIGI;DISCRIMFAMCODE;IDX;A;2019;15.5;
PNG;SIGI;DISCRIMFAMCODE;IDX;A;2019;54.2;
QAT;SIGI;DISCRIMFAMCODE;IDX;A;2019;92;
RWA;SIGI;DISCRIMFAMCODE;IDX;A;2019;38;
SEN;SIGI;DISCRIMFAMCODE;IDX;A;2019;64.9;
SLE;SIGI;DISCRIMFAMCODE;IDX;A;2019;53.7;
SOM;SIGI;DISCRIMFAMCODE;IDX;A;2019;76.2;
LKA;SIGI;DISCRIMFAMCODE;IDX;A;2019;67.6;
SWZ;SIGI;DISCRIMFAMCODE;IDX;A;2019;59.2;
SYR;SIGI;DISCRIMFAMCODE;IDX;A;2019;86.1;
TJK;SIGI;DISCRIMFAMCODE;IDX;A;2019;47.8;
TLS;SIGI;DISCRIMFAMCODE;IDX;A;2019;31;
TGO;SIGI;DISCRIMFAMCODE;IDX;A;2019;63.1;
TTO;SIGI;DISCRIMFAMCODE;IDX;A;2019;18.3;
TUN;SIGI;DISCRIMFAMCODE;IDX;A;2019;79.9;
TKM;SIGI;DISCRIMFAMCODE;IDX;A;2019;29.8;
UGA;SIGI;DISCRIMFAMCODE;IDX;A;2019;54;
UZB;SIGI;DISCRIMFAMCODE;IDX;A;2019;42.2;
VEN;SIGI;DISCRIMFAMCODE;IDX;A;2019;43.5;
YEM;SIGI;DISCRIMFAMCODE;IDX;A;2019;89.7;
ZWE;SIGI;DISCRIMFAMCODE;IDX;A;2019;42.8;
HUN;SIGI;DISCRIMFAMCODE;IDX;A;2019;34.1;
BRN;SIGI;DISCRIMFAMCODE;IDX;A;2019;79.9;
MLT;SIGI;DISCRIMFAMCODE;IDX;A;2019;24.9;
TWN;SIGI;DISCRIMFAMCODE;IDX;A;2019;37.2;
MNE;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.6;
